Problem Name,Difficulty,Patterns,Source Sheets,Link,Acceptance Rate,Tags
Contains Duplicate,Easy,two-pointers,neetcode150; blind75; grind75,https://leetcode.com/problems/contains-duplicate/,N/A,
Valid Anagram,Easy,two-pointers,neetcode150; blind75; grind75,https://leetcode.com/problems/valid-anagram/,N/A,
Two Sum,Easy,two-pointers,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/two-sum/,N/A,
Group Anagrams,Medium,two-pointers,neetcode150; blind75,https://leetcode.com/problems/group-anagrams/,N/A,
Top K Frequent Elements,Medium,top-k-elements,neetcode150; blind75,https://leetcode.com/problems/top-k-frequent-elements/,N/A,
Product of Array Except Self,Medium,two-pointers,neetcode150; blind75; grind75,https://leetcode.com/problems/product-of-array-except-self/,N/A,
Valid Sudoku,Medium,array-hashing,neetcode150,https://leetcode.com/problems/valid-sudoku/,N/A,
Encode and Decode Strings,Medium,bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/encode-and-decode-strings/,N/A,
Longest Consecutive Sequence,Medium,sliding-window,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/longest-consecutive-sequence/,N/A,
Valid Palindrome,Easy,array-hashing,neetcode150; blind75; grind75,https://leetcode.com/problems/valid-palindrome/,N/A,
Two Sum II - Input Array Is Sorted,Medium,binary-search; bit-manipulation,neetcode150,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,N/A,
3Sum,Medium,two-pointers,neetcode150; blind75; grind75,https://leetcode.com/problems/3sum/,N/A,
Container With Most Water,Medium,two-pointers,neetcode150; blind75,https://leetcode.com/problems/container-with-most-water/,N/A,
Trapping Rain Water,Hard,array-hashing,neetcode150,https://leetcode.com/problems/trapping-rain-water/,N/A,
Best Time to Buy and Sell Stock,Easy,dynamic-programming-1d,neetcode150; blind75; grind75,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,N/A,
Longest Substring Without Repeating Characters,Medium,sliding-window,neetcode150; blind75; grind75,https://leetcode.com/problems/longest-substring-without-repeating-characters/,N/A,
Longest Repeating Character Replacement,Medium,sliding-window,neetcode150; blind75,https://leetcode.com/problems/longest-repeating-character-replacement/,N/A,
Permutation in String,Medium,backtracking,neetcode150,https://leetcode.com/problems/permutation-in-string/,N/A,
Minimum Window Substring,Hard,sliding-window,neetcode150; blind75,https://leetcode.com/problems/minimum-window-substring/,N/A,
Sliding Window Maximum,Hard,sliding-window,neetcode150,https://leetcode.com/problems/sliding-window-maximum/,N/A,
Valid Parentheses,Easy,monotonic-stack,neetcode150; blind75; grind75,https://leetcode.com/problems/valid-parentheses/,N/A,
Min Stack,Medium,monotonic-stack,neetcode150; grind75,https://leetcode.com/problems/min-stack/,N/A,
Evaluate Reverse Polish Notation,Medium,monotonic-stack,neetcode150; grind75,https://leetcode.com/problems/evaluate-reverse-polish-notation/,N/A,
Generate Parentheses,Medium,backtracking,neetcode150,https://leetcode.com/problems/generate-parentheses/,N/A,
Daily Temperatures,Medium,monotonic-stack,neetcode150,https://leetcode.com/problems/daily-temperatures/,N/A,
Car Fleet,Medium,monotonic-stack,neetcode150,https://leetcode.com/problems/car-fleet/,N/A,
Largest Rectangle in Histogram,Hard,top-k-elements; monotonic-stack,neetcode150,https://leetcode.com/problems/largest-rectangle-in-histogram/,N/A,
Binary Search,Easy,binary-search; bit-manipulation,neetcode150; grind75,https://leetcode.com/problems/binary-search/,N/A,
Search a 2D Matrix,Medium,binary-search; dynamic-programming-2d,neetcode150; striver-a2z,https://leetcode.com/problems/search-a-2d-matrix/,N/A,
Koko Eating Bananas,Medium,array-hashing,neetcode150,https://leetcode.com/problems/koko-eating-bananas/,N/A,
Find Minimum in Rotated Sorted Array,Medium,binary-search,neetcode150; blind75,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,N/A,
Search in Rotated Sorted Array,Medium,binary-search,neetcode150; blind75; grind75,https://leetcode.com/problems/search-in-rotated-sorted-array/,N/A,
Time Based Key-Value Store,Medium,bit-manipulation,neetcode150; grind75,https://leetcode.com/problems/time-based-key-value-store/,N/A,
Median of Two Sorted Arrays,Hard,binary-search; bit-manipulation,neetcode150,https://leetcode.com/problems/median-of-two-sorted-arrays/,N/A,
Reverse Linked List,Easy,linked-list-reversal,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/reverse-linked-list/,N/A,
Merge Two Sorted Lists,Easy,two-pointers,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/merge-two-sorted-lists/,N/A,
Reorder List,Medium,linked-list-reversal; fast-slow-pointers,neetcode150; blind75,https://leetcode.com/problems/reorder-list/,N/A,
Remove Nth Node From End of List,Medium,fast-slow-pointers,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,N/A,
Copy List with Random Pointer,Medium,bit-manipulation,neetcode150; striver-a2z,https://leetcode.com/problems/copy-list-with-random-pointer/,N/A,
Add Two Numbers,Medium,array-hashing,neetcode150; striver-a2z,https://leetcode.com/problems/add-two-numbers/,N/A,
Linked List Cycle,Easy,fast-slow-pointers,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/linked-list-cycle/,N/A,
Find the Duplicate Number,Medium,fast-slow-pointers; cyclic-sort,neetcode150; striver-a2z,https://leetcode.com/problems/find-the-duplicate-number/,N/A,
LRU Cache,Medium,array-hashing,neetcode150,https://leetcode.com/problems/lru-cache/,N/A,
Merge k Sorted Lists,Hard,top-k-elements,neetcode150; blind75,https://leetcode.com/problems/merge-k-sorted-lists/,N/A,
Reverse Nodes in k-Group,Hard,linked-list-reversal,neetcode150; striver-a2z,https://leetcode.com/problems/reverse-nodes-in-k-group/,N/A,
Invert Binary Tree,Easy,tree-dfs,neetcode150; blind75; grind75,https://leetcode.com/problems/invert-binary-tree/,N/A,
Maximum Depth of Binary Tree,Easy,tree-dfs,neetcode150; blind75; grind75,https://leetcode.com/problems/maximum-depth-of-binary-tree/,N/A,
Diameter of Binary Tree,Easy,tree-dfs; tree-bfs; bit-manipulation,neetcode150; grind75,https://leetcode.com/problems/diameter-of-binary-tree/,N/A,
Balanced Binary Tree,Easy,tree-dfs; tree-bfs; bit-manipulation,neetcode150; grind75,https://leetcode.com/problems/balanced-binary-tree/,N/A,
Same Tree,Easy,tree-dfs,neetcode150; blind75,https://leetcode.com/problems/same-tree/,N/A,
Subtree of Another Tree,Easy,tree-dfs,neetcode150; blind75,https://leetcode.com/problems/subtree-of-another-tree/,N/A,
Lowest Common Ancestor of a Binary Search Tree,Medium,tree-dfs; binary-search,neetcode150; blind75; grind75,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,N/A,
Binary Tree Level Order Traversal,Medium,tree-bfs,neetcode150; blind75; grind75,https://leetcode.com/problems/binary-tree-level-order-traversal/,N/A,
Binary Tree Right Side View,Medium,tree-dfs; tree-bfs; bit-manipulation,neetcode150,https://leetcode.com/problems/binary-tree-right-side-view/,N/A,
Count Good Nodes in Binary Tree,Medium,tree-dfs; tree-bfs; bit-manipulation,neetcode150,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,N/A,
Validate Binary Search Tree,Medium,tree-dfs,neetcode150; blind75; grind75,https://leetcode.com/problems/validate-binary-search-tree/,N/A,
Kth Smallest Element in a BST,Medium,tree-dfs,neetcode150; blind75,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,N/A,
Construct Binary Tree from Preorder and Inorder Traversal,Medium,linked-list-reversal; tree-dfs; tree-bfs; topological-sort; bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,N/A,
Binary Tree Maximum Path Sum,Hard,tree-dfs; tree-bfs; graph-dfs; bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/binary-tree-maximum-path-sum/,N/A,
